"ape_preco","ape_precom2","ape_area","ape_dorm","ape_suite","ape_banheiro","ape_vaga","cond_nome","cond_end","cond_ano","cond_n_torres","cond_elevador","salao.de.festas","espaco.gourmet","academia","salao.de.jogos","brinquedoteca","playground","churrasqueira","quadra","area.verde","piscina","espaco.zen","lavanderia","coworking","espaco.mulher","salao.de.festas.infantil","zeu","sp_nome","latitude","longitude","gi_df"
1018897.7,12008.22,84.85,2,0,1,1,"MUST JARDIM SAO PAULO","av paulo silva araujo, 125 . jardim sao paulo",2017,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,"SANTANA-TUCURUVI",-23.4950707,-46.6123999,1
1203799.54,18173.3,66.24,2,1,2,1,"MUST JARDIM SAO PAULO","av paulo silva araujo, 125 . jardim sao paulo",2017,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,"SANTANA-TUCURUVI",-23.4950707,-46.6123999,1
1485629.84,15878.9,93.56,2,0,1,2,"MUST JARDIM SAO PAULO","av paulo silva araujo, 125 . jardim sao paulo",2017,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,"SANTANA-TUCURUVI",-23.4950707,-46.6123999,1
974816.55,15485.57,62.95,1,1,1,1,"MUST JARDIM SAO PAULO","av paulo silva araujo, 125 . jardim sao paulo",2017,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,"SANTANA-TUCURUVI",-23.4950707,-46.6123999,1
953276.71,15447.68,61.71,1,1,1,2,"MUST JARDIM SAO PAULO","av paulo silva araujo, 125 . jardim sao paulo",2017,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,"SANTANA-TUCURUVI",-23.4950707,-46.6123999,1
1334125.07,17434.98,76.52,2,1,2,2,"MUST JARDIM SAO PAULO","av paulo silva araujo, 125 . jardim sao paulo",2017,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,"SANTANA-TUCURUVI",-23.4950707,-46.6123999,1
1320436.51,17610.51,74.98,2,1,1,2,"MUST JARDIM SAO PAULO","av paulo silva araujo, 125 . jardim sao paulo",2017,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,"SANTANA-TUCURUVI",-23.4950707,-46.6123999,1
1471939.71,15985.44,92.08,2,0,1,2,"MUST JARDIM SAO PAULO","av paulo silva araujo, 125 . jardim sao paulo",2017,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,"SANTANA-TUCURUVI",-23.4950707,-46.6123999,1
158294.63,6595.61,24,1,1,1,0,"MY CLICK MORUMBI","av hebe camargo, 299 . morumbi",2022,3,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,"CAMPO LIMPO",-23.6182503,-46.7214294,1
240607.84,6683.55,36,2,0,1,0,"MY CLICK MORUMBI","av hebe camargo, 299 . morumbi",2022,3,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,"CAMPO LIMPO",-23.6182503,-46.7214294,1
148739.47,6197.48,24,1,0,1,0,"MY CLICK SAO MATEUS","r das estrelas, 920 . cidade satelite santa barbara",2022,3,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"SAO MATEUS",-23.6107487,-46.4563315,1
216685.45,6141.88,35.28,2,0,1,1,"MY CLICK SAO MATEUS","r das estrelas, 920 . cidade satelite santa barbara",2022,3,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"SAO MATEUS",-23.6107487,-46.4563315,1
601124.72,10138.71,59.29,2,1,2,1,"MY HOME","r amapa, 116 . vila bertioga",2014,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"MOOCA",-23.5699267,-46.5708337,1
748793.42,10029.38,74.66,3,1,2,2,"MY HOME","r amapa, 116 . vila bertioga",2014,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"MOOCA",-23.5699267,-46.5708337,1
753274.75,6354.06,118.55,3,1,2,2,"MY HOME","r amapa, 116 . vila bertioga",2014,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"MOOCA",-23.5699267,-46.5708337,1
659225.48,5946.47,110.86,2,1,2,2,"MY HOME","r amapa, 116 . vila bertioga",2014,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"MOOCA",-23.5699267,-46.5708337,1
501723.05,12110.14,41.43,1,0,1,1,"MY JOY","r francisco tapajos, 359 . vila santo estefano",2016,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"IPIRANGA",-23.6258236,-46.6254761,1
767400.21,12387.42,61.95,1,1,1,1,"MY JOY","r francisco tapajos, 359 . vila santo estefano",2016,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"IPIRANGA",-23.6258236,-46.6254761,1
424715.98,12870.18,33,1,0,1,0,"MY ONE BELA VISTA","doutor penaforte mendes, 69 . bela vista",0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,"SE",-23.555456,-46.6515546,1
313087.88,11181.71,28,1,0,1,0,"MY ONE BELA VISTA","doutor penaforte mendes, 69 . bela vista",0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,"SE",-23.555456,-46.6515546,1
290204.22,12091.84,24,1,0,1,0,"MY ONE BELA VISTA","doutor penaforte mendes, 69 . bela vista",0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,"SE",-23.555456,-46.6515546,1
287500,11500,25,1,0,1,0,"MY ONE ESTACAO FRADIQUE COUTINHO","potiguar medeiros, 67 . pinheiros",0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,"PINHEIROS",-23.5679103,-46.6861154,1
333500,11500,29,1,0,1,0,"MY ONE ESTACAO FRADIQUE COUTINHO","potiguar medeiros, 67 . pinheiros",0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,"PINHEIROS",-23.5679103,-46.6861154,1
538085.95,11957.47,45,2,0,1,0,"MY ONE VILA MARIANA","capitao cavalcanti, 195 . vila mariana",0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,"VILA MARIANA",-23.5892312,-46.6371779,1
391166.97,11853.55,33,1,0,1,0,"MY ONE VILA MARIANA","capitao cavalcanti, 195 . vila mariana",0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,"VILA MARIANA",-23.5892312,-46.6371779,1
327037.98,12112.52,27,1,0,1,0,"MY ONE VILA MARIANA","capitao cavalcanti, 195 . vila mariana",0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,"VILA MARIANA",-23.5892312,-46.6371779,1
1014958.09,15378.16,66,2,1,2,2,"MY PLACE","av jurema, 38 . indianopolis",2011,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VILA MARIANA",-23.606715,-46.6614438,1
2114496.02,17620.79,120,2,2,2,3,"MY PLACE","av jurema, 38 . indianopolis",2011,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VILA MARIANA",-23.606715,-46.6614438,1
839196.31,12910.72,65,2,1,2,1,"MY PLACE BRAZ LEME","r zanzibar, 404 . casa verde",2016,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,"CASA VERDE-CACHOEIRINHA",-23.5142475,-46.6571242,1
805709.58,12403.16,64.96,2,1,2,1,"MY PLACE BRAZ LEME","r zanzibar, 404 . casa verde",2016,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,"CASA VERDE-CACHOEIRINHA",-23.5142475,-46.6571242,1
955043.68,12403.16,77,3,1,2,2,"MY PLACE BRAZ LEME","r zanzibar, 404 . casa verde",2016,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,"CASA VERDE-CACHOEIRINHA",-23.5142475,-46.6571242,1
1033927.8,12403.16,83.36,3,1,2,2,"MY PLACE BRAZ LEME","r zanzibar, 404 . casa verde",2016,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,"CASA VERDE-CACHOEIRINHA",-23.5142475,-46.6571242,1
954663.43,11785.98,81,3,1,2,2,"MY PLACE BRAZ LEME","r zanzibar, 404 . casa verde",2016,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,"CASA VERDE-CACHOEIRINHA",-23.5142475,-46.6571242,1
790833.02,11803.49,67,2,1,2,1,"MY PLACE BRAZ LEME","r zanzibar, 404 . casa verde",2016,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,"CASA VERDE-CACHOEIRINHA",-23.5142475,-46.6571242,1
812941.44,10985.69,74,2,1,2,1,"MY PLACE BRAZ LEME","r zanzibar, 404 . casa verde",2016,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,"CASA VERDE-CACHOEIRINHA",-23.5142475,-46.6571242,1
999586.43,11489.5,87,3,1,2,2,"MY PLACE BRAZ LEME","r zanzibar, 404 . casa verde",2016,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,"CASA VERDE-CACHOEIRINHA",-23.5142475,-46.6571242,1
833637.52,10687.65,78,2,1,2,1,"MY PLACE BRAZ LEME","r zanzibar, 404 . casa verde",2016,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,"CASA VERDE-CACHOEIRINHA",-23.5142475,-46.6571242,1
850331.01,21258.28,40,1,0,1,1,"MY PLACE PARAISO","r chui, 207 . aclimacao",2016,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,"VILA MARIANA",-23.5762452,-46.6378875,1
1713845.45,21423.07,80,1,0,1,2,"MY PLACE PARAISO","r chui, 207 . aclimacao",2016,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,"VILA MARIANA",-23.5762452,-46.6378875,1
2249422.15,21423.07,105,2,2,2,2,"MY PLACE PARAISO","r chui, 207 . aclimacao",2016,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,"VILA MARIANA",-23.5762452,-46.6378875,1
1151118.1,6680.9,172.3,3,1,2,1,"MY SPACE","r lucrecia maciel, 333 . vila guarani",2016,2,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,"JABAQUARA",-23.6366145,-46.6371043,1
620010.78,12233.83,50.68,2,0,1,1,"MY SPACE","r lucrecia maciel, 333 . vila guarani",2016,2,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,"JABAQUARA",-23.6366145,-46.6371043,1
655869.62,12419.42,52.81,2,0,1,1,"MY SPACE","r lucrecia maciel, 333 . vila guarani",2016,2,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,"JABAQUARA",-23.6366145,-46.6371043,1
