"ape_preco","ape_precom2","ape_area","ape_dorm","ape_suite","ape_banheiro","ape_vaga","cond_nome","cond_end","cond_ano","cond_n_torres","cond_elevador","salao.de.festas","espaco.gourmet","academia","salao.de.jogos","brinquedoteca","playground","churrasqueira","quadra","area.verde","piscina","espaco.zen","lavanderia","coworking","zeu","sp_nome","latitude","longitude","gi_df"
"880.000",8627,102,2,1,2,2,"condominio montecatini","rua francisco cruz, 239 . aclimacao",1993,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,"VILA MARIANA",-23.5904622,-46.6327863,0
"1.175.000",8703,135,4,1,2,2,"condominio saint paul de vence","rua bartolomeu de gusmao, 452 . aclimacao",1992,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,"VILA MARIANA",-23.5870405,-46.6317352,0
"1.570.000",8532,184,3,1,3,2,"condominio summer hill","rua rodrigo claudio, 493 . aclimacao",1993,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,"SE",-23.5741966,-46.635491,0
"1.100.000",13.095,84,3,1,2,2,"condominio essencialy vila mariana","rua gaspar lourenco, 200 . aclimacao",2008,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"VILA MARIANA",-23.5817346,-46.6349006,0
"1.050.000",8898,118,3,1,3,2,"condominio baia blanca","rua urano, 18 . aclimacao",1977,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,"SE",-23.5707691,-46.6364455,0
"3.680.000",13.529,272,4,1,4,6,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"600.000",8108,74,2,1,2,2,"condominio . sao jose","rua paula ney, 174 . aclimacao",1993,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"VILA MARIANA",-23.5767322,-46.6348048,0
"1.058.000",13.921,76,2,1,3,1,"condominio new parker","rua almeida torres, 141 . aclimacao",2015,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5683359,-46.6276578,0
"1.250.000",7485,167,2,1,4,2,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"720.000",5625,128,2,0,1,1,"condominio santa maria","rua jose getulio, 461 . aclimacao",1954,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5692642,-46.6338027,0
"1.400.000",10.218,137,3,1,3,2,"condominio residencial aclimacao","rua doutor nicolau de sousa queiros, 297 . aclimacao",1973,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"VILA MARIANA",-23.5788122,-46.6388122,0
"890.000",6846,130,3,0,2,1,"condominio maria & josephina","rua correia dias, 476 . aclimacao",1978,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"VILA MARIANA",-23.5769688,-46.6384991,0
"4.050.000",14.889,272,4,1,5,6,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"540.000",11.489,47,2,0,1,0,"condominio hello vila mariana","rua gaspar lourenco, 260 . aclimacao",2021,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,"VILA MARIANA",-23.5822187,-46.6344025,0
"1.850.000",8043,230,4,1,4,3,"condominio ramalho bosisio","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"6.700.000",17.179,390,2,1,5,6,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2.800.000",8187,342,4,1,6,4,"condominio diamond tower","rua castro alves, 488 . aclimacao",1992,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,"SE",-23.5697871,-46.6363925,0
"670.000",7976,84,2,0,2,0,"condominio dom casmurro","rua machado de assis 165, aclimacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"VILA MARIANA",-23.5816327,-46.6362048,0
"750.000",9493,79,3,1,2,2,"condominio piazzeta di portofino","rua bueno de andrade, 706 . aclimacao",2005,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"SE",-23.5666812,-46.631205,0
"2.395.000",15.966,150,3,1,5,3,"condominio cyrela legacy vila mariana","rua dona carolina, 60 . aclimacao",2017,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"VILA MARIANA",-23.5838238,-46.6314971,0
"1.255.000",16.513,76,2,1,3,1,"condominio new parker","rua almeida torres, 141 . aclimacao",2015,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5683359,-46.6276578,0
"750.000",15.306,49,2,1,2,1,"condominio vn casa topazio","rua topazio, 701 . aclimacao",2016,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,"VILA MARIANA",-23.5763014,-46.6350121,0
"3.000.000",16.574,181,3,1,4,3,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.244.170",10.818,115,3,1,2,2,"condominio belvedere","avenida armando ferrentini, 320 . aclimacao",1996,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,"SE",-23.574232,-46.6344656,0
"426.000",7888,54,2,0,1,1,"condominio plaza","rua conselheiro furtado, 1265 . aclimacao",2013,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,"SE",-23.5642916,-46.6322604,0
"1.550.000",20.945,74,1,1,2,2,"condominio retrato paulista","rua nilo, 170 . aclimacao",2017,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"SE",-23.5714292,-46.6375001,0
"1.870.000",7480,250,4,1,5,2,"condominio glen miller","rua castro alves, 910 . aclimacao",1991,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,"SE",-23.572644,-46.6336452,0
"460.000",7187,64,2,0,2,1,"condominio camboriu","avenida armando ferrentini, 563 . aclimacao",1979,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,"VILA MARIANA",-23.5757478,-46.6358439,0
"1.390.000",8176,170,4,1,4,3,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"950.000",10000,120,3,1,3,2,"condominio fabia","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.758.251",7992,220,4,1,5,3,"condominio aramanta","rua jupiter, 149 . aclimacao",1989,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,"SE",-23.5725797,-46.6343848,0
"1.500.000",14.15,106,3,1,4,2,"condominio residencial aclimacao","rua doutor nicolau de sousa queiros, 297 . aclimacao",1973,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"VILA MARIANA",-23.5788122,-46.6388122,0
"970.000",12.763,76,2,1,3,1,"condominio new parker","rua almeida torres, 141 . aclimacao",2015,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5683359,-46.6276578,0
"710.000",7473,95,3,1,3,2,"condominio seyde haddad sabbag","rua rodrigo claudio, 197 . aclimacao",1982,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,"SE",-23.5717843,-46.6355052,0
"500.000",7142,70,2,0,2,1,"condominio miami ii","rua alvaro neto, 212 . aclimacao",1972,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"VILA MARIANA",-23.5842444,-46.6281708,0
"1.100.000",7534,146,3,1,3,2,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"800.000",7017,114,3,0,2,3,"condominio evolucao","rua topazio, 878 . aclimacao",1970,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"VILA MARIANA",-23.5776041,-46.6358006,0
"630.000",10000,63,2,0,2,1,"condominio aruja","rua doutor neto de araujo, 187 . aclimacao",1989,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"VILA MARIANA",-23.586965,-46.6328988,0
"849.900",7082,120,3,1,3,1,"condominio estrela polar","rua gaspar lourenco, 65 . aclimacao",1975,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,"VILA MARIANA",-23.5805491,-46.6351939,0
"2.340.000",9360,250,4,1,4,3,"condominio casaredo","rua jupiter, 186 . aclimacao",1987,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,"SE",-23.5724433,-46.6347916,0
"546.035",7690,71,2,0,2,1,"condominio graziela","rua bartolomeu de gusmao, 412 . aclimacao",1988,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"VILA MARIANA",-23.5867108,-46.6318694,0
"2.650.000",14.402,184,3,1,5,3,"condominio verace","rua artur saboia, 205 . aclimacao",2006,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,"VILA MARIANA",-23.5762896,-46.6372362,0
"1.500.000",11.538,130,4,1,4,3,"condominio villa d'este","rua doutor nicolau de sousa queiros, 194 . aclimacao",1989,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,"VILA MARIANA",-23.57821,-46.638708,0
"997.000",5864,170,4,1,2,2,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.970.000",18.24,108,3,1,3,2,"condominio retrato paulista","rua nilo, 170 . aclimacao",2017,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"SE",-23.5714292,-46.6375001,0
"640.000",12.307,52,2,0,1,1,"condominio . code aclimacao","rua bueno de andrade, 662 . aclimacao",2016,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,"SE",-23.5662563,-46.6312868,0
"1.230.000",9179,134,3,1,3,2,"condominio paco de sorrento","rua castro alves, 908 . aclimacao",1986,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,"SE",-23.5725321,-46.6337852,0
"904.000",13.907,65,2,1,2,2,"condominio hall paulistano","avenida lins de vasconcelos, 2880 . aclimacao",2008,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,"VILA MARIANA",-23.5871442,-46.6290189,0
"760.000",9268,82,3,1,2,2,"condominio buriti","rua alvaro neto, 428 . aclimacao",1995,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,"VILA MARIANA",-23.5824898,-46.6282632,0
"1.300.000",7647,170,4,1,4,3,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.350.000",8598,157,3,1,5,2,"condominio monte verde","rua batista caetano, 39 . aclimacao",1994,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,"SE",-23.577464,-46.6275113,0
"2.100.000",10.606,198,4,1,5,3,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.350.000",5400,250,3,1,4,2,"condominio marcela","rua loureiro da cruz, 270 . aclimacao",1980,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,"SE",-23.5704746,-46.6342178,0
"740.000",7047,105,3,1,2,1,"condominio rochester","avenida da aclimacao, 193 . aclimacao",1977,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,"SE",-23.5683482,-46.6330482,0
"1.064.000",14,76,2,1,3,1,"condominio new parker","rua almeida torres, 141 . aclimacao",2015,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5683359,-46.6276578,0
"620.000",5904,105,3,1,2,1,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.700.000",8500,200,4,1,5,4,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.000.000",6666,150,3,0,2,1,"condominio urano","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"750.000",6410,117,3,1,2,1,"condominio jatoba","rua urano, 9 . aclimacao",1984,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,"SE",-23.5705178,-46.6367867,0
"830.000",9431,88,3,1,3,2,"condominio ana maria","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.900.000",7600,250,4,1,5,3,"condominio adriana","rua castro alves, 806 . aclimacao",1983,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,"SE",-23.5718487,-46.6344652,0
"1.686.503",9215,183,4,1,5,3,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"740.000",9250,80,3,1,2,2,"condominio piazzeta di portofino","rua bueno de andrade, 706 . aclimacao",2005,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"SE",-23.5666812,-46.631205,0
"1.250.000",9259,135,4,1,4,2,"condominio saint paul de vence","rua bartolomeu de gusmao, 452 . aclimacao",1992,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,"VILA MARIANA",-23.5870405,-46.6317352,0
"1.651.384",8425,196,3,1,5,3,"condominio santa margherita","rua castro alves, 491 . aclimacao",1992,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,"SE",-23.5693249,-46.6361156,0
"766.000",10.942,70,2,1,2,1,"condominio village d oro","rua bartolomeu de gusmao, 430 . aclimacao",1998,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,"VILA MARIANA",-23.5868844,-46.6318701,0
"699.000",8524,82,1,1,1,1,"condominio turandot","rua dona avelina, 118 . aclimacao",1988,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,"VILA MARIANA",-23.5866898,-46.6323454,0
"1.200.000",8275,145,3,1,4,2,"condominio saint laurent","rua sebastiao carneiro, 249 . aclimacao",1975,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"SE",-23.5751291,-46.6268827,0
"1.500.000",8196,183,3,1,5,3,"condominio piazza d'ante","rua rodrigo claudio, 299 . aclimacao",1985,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"SE",-23.5723988,-46.636006,0
"2.180.000",15.46,141,3,1,5,2,"condominio new parker","rua almeida torres, 141 . aclimacao",2015,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5683359,-46.6276578,0
"1.300.000",7647,170,3,1,5,3,"condominio ana capri","rua espirito santo, 55 . aclimacao",1992,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"SE",-23.5690037,-46.6320531,0
"372.600",7604,49,1,0,1,1,"condominio fujiama","rua bueno de andrade, 71 . aclimacao",1978,2,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,"SE",-23.5607497,-46.6312239,0
"640.000",9846,65,2,0,2,2,"condominio valenca","rua correia dias, 451 . aclimacao",1989,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,"VILA MARIANA",-23.576507,-46.6387273,0
"369.600",13.2,28,1,0,1,1,"condominio . code aclimacao","rua bueno de andrade, 662 . aclimacao",2016,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,"SE",-23.5662563,-46.6312868,0
"395.000",5197,76,2,0,1,0,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4.260.000",13.312,320,4,1,6,3,"condominio monte verde","rua do paraiso, 719 . aclimacao",1993,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,"SE",-23.5745979,-46.636275,0
"1.250.000",6613,189,4,1,4,3,"condominio status","rua rodrigo claudio, 58 . aclimacao",1978,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"SE",-23.5708167,-46.6345992,0
"660.000",8250,80,2,0,2,1,"condominio alexandra","rua castro alves, 744 . aclimacao",1977,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"SE",-23.5713477,-46.6347523,0
"674.172",10.371,65,3,1,2,2,"condominio piazzeta di portofino","rua bueno de andrade, 706 . aclimacao",2005,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"SE",-23.5666812,-46.631205,0
"1.050.000",8974,117,3,1,4,3,"condominio aripuana","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"450.000",12.162,37,1,0,1,2,"condominio maria antonieta","rua apeninos, 471 . aclimacao",1989,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,"SE",-23.5716107,-46.6388375,0
"1.500.000",7894,190,3,1,4,2,"condominio vereda","rua jupiter, 218 . aclimacao",1990,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,"SE",-23.5727155,-46.6352032,0
"378.000",8042,47,2,0,1,1,"condominio miami","avenida lins de vasconcelos, 2534 . aclimacao",1972,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"VILA MARIANA",-23.5844278,-46.6277654,0
"745.000",9675,77,3,0,2,1,"condominio saint hilaire","rua dona avelina, 77 . aclimacao",1995,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,"VILA MARIANA",-23.5864298,-46.6331039,0
"1.800.000",8411,214,4,1,5,3,"condominio firenze","rua safira, 420 . aclimacao",1996,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,"SE",-23.573645,-46.6349744,0
"515.200",6605,78,3,0,2,1,"condominio conde de ipanema","rua muniz de sousa, 914 . aclimacao",1984,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5708128,-46.6280521,0
"1.564.000",9200,170,3,1,5,3,"condominio ana lucia","rua castro alves, 601 . aclimacao",1994,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"SE",-23.5701749,-46.6353768,0
"940.000",9126,103,3,1,3,1,"condominio jardins de mariana","rua doutor pinto ferraz, 97 . aclimacao",1989,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"VILA MARIANA",-23.5898805,-46.632532,0
"960.000",9600,100,2,1,2,2,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"640.000",9846,65,3,1,2,1,"condominio piazzeta di portofino","rua bueno de andrade, 706 . aclimacao",2005,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"SE",-23.5666812,-46.631205,0
"1.365.000",22.75,60,1,1,2,2,"condominio all aclimacao","rua paula ney, 100 . aclimacao",2016,2,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,"VILA MARIANA",-23.5761772,-46.6342771,0
"1.070.000",7985,134,3,1,4,2,"condominio cozumel","rua jose getulio, 334 . aclimacao",1996,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,"SE",-23.5687045,-46.6348991,0
"390.000",6190,63,2,0,1,0,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2.400.000",10.389,231,3,1,5,3,"condominio lugano","rua espirito santo, 25 . aclimacao",2006,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,"SE",-23.5691313,-46.6322604,0
"1.900.000",5828,326,6,1,6,3,"condominio maison bonnard","rua rodrigo claudio, 308 . aclimacao",1993,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,"SE",-23.5721314,-46.6364634,0
"450.000",11.25,40,1,0,1,1,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"400.000",7407,54,1,0,1,1,"condominio monte paraiso","rua doutor nicolau de sousa queiros, 760 . aclimacao",1999,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,"VILA MARIANA",-23.5779664,-46.6360378,0
"475.000",5792,82,2,0,2,0,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.800.000",9677,186,4,1,5,3,"condominio villa d'este","rua doutor nicolau de sousa queiros, 194 . aclimacao",1989,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,"VILA MARIANA",-23.57821,-46.638708,0
"1.115.000",15.067,74,2,1,2,2,"condominio retrato paulista","rua nilo, 170 . aclimacao",2017,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"SE",-23.5714292,-46.6375001,0
"810.625",4503,180,3,1,2,1,"condominio itanhacu","rua castro alves, 402 . aclimacao",1974,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"SE",-23.5689501,-46.6368104,0
"1.900.000",13.103,145,4,1,4,3,"condominio santa margherita","rua castro alves, 491 . aclimacao",1992,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,"SE",-23.5693249,-46.6361156,0
"852.000",8037,106,3,1,4,2,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.520.000",9440,161,3,1,4,3,"condominio maison bonnard","rua rodrigo claudio, 308 . aclimacao",1993,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,"SE",-23.5721314,-46.6364634,0
"720.000",9113,79,2,0,2,1,"condominio siegfried","rua espirito santo, 195 . aclimacao",1970,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5683047,-46.6307814,0
"1.700.000",7264,234,3,1,4,3,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.200.000",6000,200,3,0,2,2,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"910.000",7777,117,3,1,3,1,"condominio ana-hila-liguori","rua topazio, 237 . aclimacao",1970,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5739398,-46.6311594,0
"1.300.000",9489,137,3,1,3,1,"condominio residencial aclimacao","rua doutor nicolau de sousa queiros, 297 . aclimacao",1973,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"VILA MARIANA",-23.5788122,-46.6388122,0
"1.100.000",7333,150,3,1,5,2,"condominio park prince","rua rodrigo claudio, 59 . aclimacao",1989,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"SE",-23.5710194,-46.6343902,0
"700.000",9611,67,2,0,1,1,"condominio lais","rua do paraiso, 353 . aclimacao",1976,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"SE",-23.573664,-46.639759,0
"850.000",7727,110,3,1,4,1,"condominio baltico","rua doutor nicolau de sousa queiros 56, aclimacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"VILA MARIANA",-23.5780626,-46.6397612,0
"438.000",7551,58,1,0,1,1,"condominio rio prata","rua vergueiro, 3315 . aclimacao",1982,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"VILA MARIANA",-23.589125,-46.6315,0
"1.690.000",8450,200,3,1,3,3,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"586.000",8138,72,2,0,1,1,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.063.830",7500,130,3,1,3,1,"condominio la wally","rua topazio, 926 . aclimacao",1970,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,"VILA MARIANA",-23.5780535,-46.6357161,0
"720.000",6000,120,2,0,2,1,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.610.000",7666,210,3,1,4,3,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.800.000",6666,270,3,1,NA,4,"condominio baia blanca","rua urano, 18 . aclimacao",1977,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,"SE",-23.5707691,-46.6364455,0
"1.000.000",6535,153,3,1,3,1,"condominio la wally","rua topazio, 926 . aclimacao",1970,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,"VILA MARIANA",-23.5780535,-46.6357161,0
"1.500.000",9554,157,4,1,5,3,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.800.000",9000,200,3,1,4,3,"condominio giardino","rua jupiter, 127 . aclimacao",1988,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"SE",-23.572564,-46.634164,0
"1.090.000",6055,180,3,1,2,1,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.900.000",12.582,151,3,1,5,3,"condominio vila nova mariana condominium - a","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"600.000",6666,90,2,0,1,1,"condominio antonio jose pinto","rua paulo orozimbo, 1162 . aclimacao",1981,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5777323,-46.6266964,0
"780.000",18.571,42,1,1,1,1,"condominio all aclimacao","rua paula ney, 100 . aclimacao",2016,2,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,"VILA MARIANA",-23.5761772,-46.6342771,0
"1.600.000",8888,180,4,1,3,3,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2.000.000",11.976,167,3,1,5,3,"condominio grand atelier","rua jaspe, 57 . aclimacao",2006,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,"SE",-23.5706326,-46.6322416,0
"475.000",8796,54,2,0,1,1,"condominio plaza","rua conselheiro furtado, 1299 . aclimacao",1994,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"SE",-23.5646112,-46.6323026,0
"800.000",9876,81,2,0,2,1,"condominio carpareli","rua nilo, 241 . aclimacao",1967,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,"SE",-23.5720897,-46.6369346,0
"1.800.000",8372,215,4,1,5,3,"condominio central park","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"595.000",9916,60,2,0,1,0,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"750.000",9740,77,3,0,2,1,"condominio saint hilaire","rua dona avelina, 77 . aclimacao",1995,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,"VILA MARIANA",-23.5864298,-46.6331039,0
"945.009",9264,102,3,1,2,1,"condominio sao judas tadeu","rua topazio, 478 . aclimacao",1952,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5745145,-46.6335609,0
"1.620.000",10.253,158,3,1,5,3,"condominio santa lucia","rua batista do carmo, 171 . aclimacao",2005,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,"SE",-23.5756926,-46.6255137,0
"610.000",7820,78,2,0,2,1,"condominio genoveva","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
