"ape_preco","ape_precom2","ape_area","ape_dorm","ape_suite","ape_banheiro","ape_vaga","cond_nome","cond_end","cond_ano","cond_n_torres","cond_elevador","salao.de.festas","espaco.gourmet","academia","salao.de.jogos","brinquedoteca","playground","churrasqueira","quadra","area.verde","piscina","espaco.zen","lavanderia","coworking","zeu","sp_nome","latitude","longitude","gi_df"
"4.590.000",12.75,360,4,1,5,5,"condominio jeribatuba","rua dos moras, 418 . vila madalena",2000,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"PINHEIROS",-23.557688,-46.6923278,0
"770.000",8369,92,2,0,2,1,"condominio paulistania","rua paulistania, 432 . vila madalena",1973,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"PINHEIROS",-23.5479539,-46.6906628,0
"2.550.000",17.586,145,2,1,4,2,"condominio andrea","rua pascoal vita, 366 . vila madalena",1983,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,"PINHEIROS",-23.5516295,-46.6983621,0
"2.609.000",12.915,202,3,1,4,4,"condominio garden","rua rodesia, 370 . vila madalena",NA,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,"PINHEIROS",-23.5521048,-46.6922337,0
"620.000",9841,63,2,0,1,1,"condominio acacia","rua girassol, 988 . vila madalena",1994,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"PINHEIROS",-23.550663,-46.6922767,0
"2.700.000",18.12,149,3,1,5,2,"condominio setor torre","rua senador cesar lacerda vergueiro, 257 . vila madalena",2019,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"PINHEIROS",-23.5482131,-46.6925768,0
"1.310.000",12.018,109,2,1,2,2,"condominio jerico","rua jerico, 59 . vila madalena",1979,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,"PINHEIROS",-23.5528398,-46.6887573,0
"1.300.000",9923,131,3,1,2,1,"condominio sao lucas","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.970.000",11.939,165,2,1,5,3,"condominio morada dos jardins","rua lisboa, 1142 . vila madalena",1994,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,"PINHEIROS",-23.5548625,-46.6825878,0
"617.915",9966,62,2,0,2,1,"condominio acacia","rua girassol, 988 . vila madalena",1994,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"PINHEIROS",-23.550663,-46.6922767,0
"1.600.000",13.008,123,1,1,3,2,"condominio all time jardim america","rua alves guimaraes, 1217 . vila madalena",2010,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,"PINHEIROS",-23.5525616,-46.6808333,0
